secid,tradedate,open,close,low,high,capitalization
IMOEX,1997-09-22,,100.0,,,
IMOEX,1997-09-23,,100.67,,,
IMOEX,1997-09-24,,99.94,,,
IMOEX,1997-09-25,,99.46,,,
IMOEX,1997-09-26,,98.87,,,
IMOEX,1997-09-29,,99.14,,,
IMOEX,1997-09-30,,100.16,,,
IMOEX,1997-10-01,,101.21,,,
IMOEX,1997-10-02,,105.8,,,
IMOEX,1997-10-03,,110.73,,,
IMOEX,1997-10-06,,115.03,,,
IMOEX,1997-10-07,,112.67,,,
IMOEX,1997-10-08,,112.22,,,
IMOEX,1997-10-09,,107.89,,,
IMOEX,1997-10-10,,106.56,,,
IMOEX,1997-10-13,,108.54,,,
IMOEX,1997-10-14,,111.44,,,
IMOEX,1997-10-15,,109.65,,,
IMOEX,1997-10-16,,109.68,,,
IMOEX,1997-10-17,,107.9,,,
IMOEX,1997-10-20,,107.46,,,
IMOEX,1997-10-21,,109.39,,,
IMOEX,1997-10-22,,111.19,,,
IMOEX,1997-10-23,,106.82,,,
IMOEX,1997-10-24,,105.33,,,
IMOEX,1997-10-27,,99.65,,,
IMOEX,1997-10-28,,78.91,,,
IMOEX,1997-10-29,,94.73,,,
IMOEX,1997-10-30,,85.27,,,
IMOEX,1997-10-31,,86.46,,,
IMOEX,1997-11-03,,89.34,,,
IMOEX,1997-11-04,,89.34,,,
IMOEX,1997-11-05,,88.85,,,
IMOEX,1997-11-06,,88.6,,,
IMOEX,1997-11-10,,81.77,,,
IMOEX,1997-11-11,,77.2,,,
IMOEX,1997-11-12,,71.19,,,
IMOEX,1997-11-13,,68.23,,,
IMOEX,1997-11-14,,67.42,,,
IMOEX,1997-11-17,,68.06,,,
IMOEX,1997-11-18,,72.18,,,
IMOEX,1997-11-19,,70.51,,,
IMOEX,1997-11-20,,72.58,,,
IMOEX,1997-11-21,,77.52,,,
IMOEX,1997-11-24,,74.01,,,
IMOEX,1997-11-25,,69.49,,,
IMOEX,1997-11-26,,72.65,,,
IMOEX,1997-11-27,,70.2,,,
IMOEX,1997-11-28,,67.94,,,
IMOEX,1997-12-01,,66.66,,,
IMOEX,1997-12-02,,66.7,,,
IMOEX,1997-12-03,,70.05,,,
IMOEX,1997-12-04,,74.84,,,
IMOEX,1997-12-05,,79.16,,,
IMOEX,1997-12-08,,80.27,,,
IMOEX,1997-12-09,,80.89,,,
IMOEX,1997-12-10,,76.88,,,
IMOEX,1997-12-11,,71.06,,,
IMOEX,1997-12-15,,76.13,,,
IMOEX,1997-12-16,,79.05,,,
IMOEX,1997-12-17,,81.59,,,
IMOEX,1997-12-18,,80.16,,,
IMOEX,1997-12-19,,76.39,,,
IMOEX,1997-12-22,,76.75,,,
IMOEX,1997-12-23,,79.47,,,
IMOEX,1997-12-24,,78.72,,,
IMOEX,1997-12-25,,79.91,,,
IMOEX,1997-12-26,,80.98,,,
IMOEX,1997-12-29,,83.2,,,
IMOEX,1997-12-30,,85.05,,,
IMOEX,1998-01-06,,88.97,,,
IMOEX,1998-01-08,,83.56,,,
IMOEX,1998-01-09,,81.26,,,
IMOEX,1998-01-12,,70.61,,,
IMOEX,1998-01-13,,73.34,,,
IMOEX,1998-01-14,,74.16,,,
IMOEX,1998-01-15,,70.62,,,
IMOEX,1998-01-16,,70.61,,,
IMOEX,1998-01-19,,73.4,,,
IMOEX,1998-01-20,,73.33,,,
IMOEX,1998-01-21,,71.7,,,
IMOEX,1998-01-22,,67.75,,,
IMOEX,1998-01-23,,65.98,,,
IMOEX,1998-01-26,,60.34,,,
IMOEX,1998-01-27,,62.99,,,
IMOEX,1998-01-28,,62.71,,,
IMOEX,1998-01-29,,57.95,,,
IMOEX,1998-01-30,,62.21,,,
IMOEX,1998-02-02,,67.39,,,
IMOEX,1998-02-03,,65.96,,,
IMOEX,1998-02-04,,64.1,,,
IMOEX,1998-02-05,,67.48,,,
IMOEX,1998-02-06,,70.4,,,
IMOEX,1998-02-09,,71.36,,,
IMOEX,1998-02-10,,69.71,,,
IMOEX,1998-02-11,,72.15,,,
IMOEX,1998-02-12,,70.63,,,
IMOEX,1998-02-13,,69.6,,,
IMOEX,1998-02-16,,70.32,,,
IMOEX,1998-02-17,,72.09,,,
IMOEX,1998-02-18,,71.44,,,
IMOEX,1998-02-19,,71.72,,,
IMOEX,1998-02-20,,71.78,,,
IMOEX,1998-02-23,,73.04,,,
IMOEX,1998-02-24,,72.6,,,
IMOEX,1998-02-25,,72.49,,,
IMOEX,1998-02-26,,73.76,,,
IMOEX,1998-02-27,,73.38,,,
IMOEX,1998-03-02,,75.16,,,
IMOEX,1998-03-03,,76.6,,,
IMOEX,1998-03-04,,77.21,,,
IMOEX,1998-03-05,,76.66,,,
IMOEX,1998-03-06,,77.85,,,
IMOEX,1998-03-10,,79.8,,,
IMOEX,1998-03-11,,82.91,,,
IMOEX,1998-03-12,,81.29,,,
IMOEX,1998-03-13,,80.95,,,
IMOEX,1998-03-16,,80.88,,,
IMOEX,1998-03-17,,78.43,,,
IMOEX,1998-03-18,,76.03,,,
IMOEX,1998-03-19,,77.4,,,
IMOEX,1998-03-20,,78.75,,,
IMOEX,1998-03-23,,77.42,,,
IMOEX,1998-03-24,,80.39,,,
IMOEX,1998-03-25,,79.11,,,
IMOEX,1998-03-26,,78.11,,,
IMOEX,1998-03-27,,78.99,,,
IMOEX,1998-03-30,,77.91,,,
IMOEX,1998-03-31,,76.35,,,
IMOEX,1998-04-01,,75.42,,,
IMOEX,1998-04-02,,76.19,,,
IMOEX,1998-04-03,,74.54,,,
IMOEX,1998-04-06,,74.61,,,
IMOEX,1998-04-07,,74.96,,,
IMOEX,1998-04-08,,74.37,,,
IMOEX,1998-04-09,,73.58,,,
IMOEX,1998-04-10,,72.69,,,
IMOEX,1998-04-13,,73.83,,,
IMOEX,1998-04-14,,73.59,,,
IMOEX,1998-04-15,,74.8,,,
IMOEX,1998-04-16,,75.38,,,
IMOEX,1998-04-17,,75.37,,,
IMOEX,1998-04-20,,74.95,,,
IMOEX,1998-04-21,,75.23,,,
IMOEX,1998-04-22,,76.67,,,
IMOEX,1998-04-23,,78.54,,,
IMOEX,1998-04-24,,79.96,,,
IMOEX,1998-04-27,,77.38,,,
IMOEX,1998-04-28,,74.06,,,
IMOEX,1998-04-29,,75.17,,,
IMOEX,1998-04-30,,75.66,,,
IMOEX,1998-05-05,,78.09,,,
IMOEX,1998-05-06,,76.18,,,
IMOEX,1998-05-07,,74.91,,,
IMOEX,1998-05-08,,73.98,,,
IMOEX,1998-05-12,,72.16,,,
