ticker,tradedate,open,high,low,close,value,volume,boardid
YKENP,2014-06-19 00:00:00,0.1315,0.1315,0.1315,0.1315,1315,10000,TQBR
YKENP,2014-06-20 00:00:00,0.135,0.135,0.135,0.135,40500,300000,TQBR
YKENP,2014-06-24 00:00:00,0.1499,0.159,0.14,0.14,150964,1060000,TQBR
YKENP,2014-07-02 00:00:00,0.1305,0.1305,0.1305,0.1305,3915,30000,TQBR
YKENP,2014-07-07 00:00:00,0.145,0.145,0.145,0.145,105850,730000,TQBR
YKENP,2014-07-09 00:00:00,0.1449,0.1449,0.1449,0.1449,1449,10000,TQBR
YKENP,2014-07-23 00:00:00,0.136,0.1497,0.1359,0.1395,19534,140000,TQBR
YKENP,2014-07-24 00:00:00,0.1301,0.1399,0.1301,0.1399,10800,80000,TQBR
YKENP,2014-07-25 00:00:00,0.139,0.1499,0.1302,0.1388,22316,160000,TQBR
YKENP,2014-07-28 00:00:00,0.1301,0.136,0.13,0.136,19741,150000,TQBR
YKENP,2014-07-29 00:00:00,0.1449,0.1449,0.13,0.1399,20901,150000,TQBR
YKENP,2014-07-30 00:00:00,0.1206,0.132,0.1206,0.132,10104,80000,TQBR
YKENP,2014-08-01 00:00:00,0.1321,0.1399,0.1321,0.135,13551,100000,TQBR
YKENP,2014-08-05 00:00:00,0.1207,0.135,0.1207,0.135,10228,80000,TQBR
YKENP,2014-08-06 00:00:00,0.1201,0.1394,0.12,0.1394,7395,60000,TQBR
YKENP,2014-08-07 00:00:00,0.1364,0.1364,0.13,0.136,25508,190000,TQBR
YKENP,2014-08-08 00:00:00,0.1359,0.1359,0.1203,0.1355,12022,90000,TQBR
YKENP,2014-08-11 00:00:00,0.1299,0.135,0.1299,0.135,44260,330000,TQBR
YKENP,2014-08-12 00:00:00,0.1316,0.1424,0.1315,0.1424,6900,50000,TQBR
YKENP,2014-08-13 00:00:00,0.1327,0.1399,0.1327,0.1399,16356,120000,TQBR
YKENP,2014-08-14 00:00:00,0.1201,0.1251,0.1199,0.1251,10851,90000,TQBR
YKENP,2014-08-15 00:00:00,0.13,0.13,0.13,0.13,5200,40000,TQBR
YKENP,2014-08-18 00:00:00,0.12,0.1306,0.115,0.1289,28276,230000,TQBR
YKENP,2014-08-19 00:00:00,0.1327,0.1399,0.121,0.127,94819,740000,TQBR
YKENP,2014-08-20 00:00:00,0.13,0.13,0.125,0.1259,6312,50000,TQBR
YKENP,2014-08-21 00:00:00,0.1344,0.1344,0.1344,0.1344,8064,60000,TQBR
YKENP,2014-08-25 00:00:00,0.125,0.125,0.125,0.125,7500,60000,TQBR
YKENP,2014-08-29 00:00:00,0.1377,0.1377,0.1377,0.1377,9639,70000,TQBR
YKENP,2014-09-02 00:00:00,0.1215,0.1215,0.1215,0.1215,340200,2800000,TQBR
YKENP,2014-09-04 00:00:00,0.121,0.1292,0.121,0.1292,15012,120000,TQBR
YKENP,2014-09-05 00:00:00,0.127,0.13,0.127,0.13,38310,300000,TQBR
YKENP,2014-09-09 00:00:00,0.13,0.13,0.13,0.13,15600,120000,TQBR
YKENP,2014-09-10 00:00:00,0.1368,0.1368,0.13,0.13,101468,780000,TQBR
YKENP,2014-09-15 00:00:00,0.1379,0.1379,0.1369,0.137,6862,50000,TQBR
YKENP,2014-09-16 00:00:00,0.1202,0.1367,0.1202,0.1367,13504,100000,TQBR
YKENP,2014-09-17 00:00:00,0.13,0.13,0.13,0.13,26000,200000,TQBR
YKENP,2014-09-18 00:00:00,0.1366,0.1367,0.1366,0.1367,9568,70000,TQBR
YKENP,2014-09-25 00:00:00,0.1586,0.1586,0.1586,0.1586,1586,10000,TQBR
YKENP,2014-10-02 00:00:00,0.1435,0.1435,0.135,0.136,91050,670000,TQBR
YKENP,2014-10-03 00:00:00,0.14,0.14,0.13,0.13,8185,60000,TQBR
YKENP,2014-10-06 00:00:00,0.144,0.144,0.144,0.144,27360,190000,TQBR
YKENP,2014-10-07 00:00:00,0.132,0.136,0.13,0.136,215000,1600000,TQBR
YKENP,2014-10-09 00:00:00,0.1455,0.146,0.1455,0.146,2915,20000,TQBR
YKENP,2014-10-13 00:00:00,0.1455,0.149,0.1455,0.149,7380,50000,TQBR
YKENP,2014-10-15 00:00:00,0.149,0.149,0.149,0.149,7450,50000,TQBR
YKENP,2014-10-17 00:00:00,0.147,0.157,0.147,0.157,295190,1970000,TQBR
YKENP,2014-10-20 00:00:00,0.1585,0.1795,0.1585,0.168,17960,110000,TQBR
YKENP,2014-10-21 00:00:00,0.16,0.16,0.155,0.155,283100,1770000,TQBR
YKENP,2014-10-22 00:00:00,0.167,0.167,0.167,0.167,1670,10000,TQBR
YKENP,2014-10-24 00:00:00,0.16,0.165,0.16,0.165,82430,500000,TQBR
YKENP,2014-10-27 00:00:00,0.1505,0.1505,0.1505,0.1505,1505,10000,TQBR
YKENP,2014-10-28 00:00:00,0.167,0.167,0.167,0.167,1670,10000,TQBR
YKENP,2014-10-30 00:00:00,0.1555,0.1555,0.149,0.155,108335,710000,TQBR
YKENP,2014-11-05 00:00:00,0.1645,0.175,0.1645,0.175,81750,490000,TQBR
YKENP,2014-11-10 00:00:00,0.16,0.16,0.158,0.158,276485,1740000,TQBR
YKENP,2014-11-11 00:00:00,0.158,0.158,0.158,0.158,4740,30000,TQBR
YKENP,2014-11-14 00:00:00,0.1585,0.1585,0.1585,0.1585,36455,230000,TQBR
YKENP,2014-11-18 00:00:00,0.174,0.178,0.165,0.178,8470,50000,TQBR
YKENP,2014-11-19 00:00:00,0.178,0.179,0.178,0.179,10730,60000,TQBR
