ticker,tradedate,open,high,low,close,value,volume,boardid
PAZA,2014-06-17 00:00:00,150.2,150.2,150.0,150.0,37503.0,250,TQBR
PAZA,2014-06-24 00:00:00,150.0,150.0,150.0,150.0,1500.0,10,TQBR
PAZA,2014-06-25 00:00:00,125.5,125.5,125.5,125.5,1255.0,10,TQBR
PAZA,2014-07-01 00:00:00,128.3,128.3,128.3,128.3,1283.0,10,TQBR
PAZA,2014-07-03 00:00:00,150.2,199.9,150.1,179.8,13687.0,80,TQBR
PAZA,2014-07-04 00:00:00,237.9,237.9,237.9,237.9,2379.0,10,TQBR
PAZA,2014-07-15 00:00:00,274.9,274.9,150.5,169.3,220675.0,1360,TQBR
PAZA,2014-07-16 00:00:00,162.0,162.0,162.0,162.0,6480.0,40,TQBR
PAZA,2014-07-22 00:00:00,162.0,162.0,162.0,162.0,1620.0,10,TQBR
PAZA,2014-07-23 00:00:00,143.0,159.0,143.0,159.0,3020.0,20,TQBR
PAZA,2014-07-28 00:00:00,131.0,184.0,131.0,183.0,6300.0,40,TQBR
PAZA,2014-07-29 00:00:00,138.8,138.8,137.9,137.9,4146.0,30,TQBR
PAZA,2014-07-31 00:00:00,155.0,155.0,155.0,155.0,1550.0,10,TQBR
PAZA,2014-08-12 00:00:00,154.9,154.9,154.9,154.9,1549.0,10,TQBR
PAZA,2014-08-15 00:00:00,159.0,160.0,158.0,160.0,12675.0,80,TQBR
PAZA,2014-08-22 00:00:00,160.0,160.0,160.0,160.0,8000.0,50,TQBR
PAZA,2014-08-28 00:00:00,175.9,175.9,175.9,175.9,1759.0,10,TQBR
PAZA,2014-09-01 00:00:00,135.0,174.0,135.0,169.0,9362.0,60,TQBR
PAZA,2014-09-03 00:00:00,137.0,166.0,137.0,143.3,5896.0,40,TQBR
PAZA,2014-09-10 00:00:00,145.0,167.4,145.0,167.4,29908.0,180,TQBR
PAZA,2014-09-12 00:00:00,140.0,140.0,138.0,138.0,4160.0,30,TQBR
PAZA,2014-09-15 00:00:00,138.8,143.0,138.8,143.0,2818.0,20,TQBR
PAZA,2014-09-16 00:00:00,140.0,144.9,133.2,133.2,8430.0,60,TQBR
PAZA,2014-09-17 00:00:00,137.3,137.3,130.3,134.3,8107.0,60,TQBR
PAZA,2014-09-18 00:00:00,153.0,153.1,134.2,134.2,4403.0,30,TQBR
PAZA,2014-09-19 00:00:00,158.0,158.0,158.0,158.0,1580.0,10,TQBR
PAZA,2014-09-24 00:00:00,154.8,175.0,154.8,175.0,170283.0,980,TQBR
PAZA,2014-09-25 00:00:00,158.0,175.0,148.0,170.2,14910.0,90,TQBR
PAZA,2014-09-26 00:00:00,160.2,160.2,160.2,160.2,1602.0,10,TQBR
PAZA,2014-09-29 00:00:00,161.4,161.4,161.3,161.3,3227.0,20,TQBR
PAZA,2014-10-01 00:00:00,151.5,151.5,145.0,145.0,4480.0,30,TQBR
PAZA,2014-10-02 00:00:00,144.5,145.0,144.5,145.0,5795.0,40,TQBR
PAZA,2014-10-22 00:00:00,175.0,175.0,175.0,175.0,1750.0,10,TQBR
