ticker,tradedate,open,high,low,close,value,volume,boardid
VSYDP,2014-07-16 00:00:00,2400,2400,2400,2400,2400.0,1,TQBR
VSYDP,2014-08-26 00:00:00,2500,2500,2500,2500,5000.0,2,TQBR
VSYDP,2015-02-12 00:00:00,2450,2450,2450,2450,2450.0,1,TQBR
VSYDP,2015-07-17 00:00:00,1500,1790,1500,1750,49310.0,31,TQBR
VSYDP,2015-07-20 00:00:00,1750,1800,1750,1800,10620.0,6,TQBR
VSYDP,2015-07-21 00:00:00,1900,1900,1900,1900,1900.0,1,TQBR
VSYDP,2015-07-22 00:00:00,1840,2500,1840,2500,13830.0,7,TQBR
VSYDP,2015-07-27 00:00:00,1730,2290,1720,2290,9180.0,5,TQBR
VSYDP,2015-08-13 00:00:00,2900,2900,2900,2900,2900.0,1,TQBR
VSYDP,2015-08-25 00:00:00,2900,2900,2900,2900,2900.0,1,TQBR
VSYDP,2015-08-26 00:00:00,3400,3400,3400,3400,3400.0,1,TQBR
VSYDP,2015-08-27 00:00:00,4700,4700,4700,4700,4700.0,1,TQBR
VSYDP,2015-08-28 00:00:00,6480,6480,6480,6480,6480.0,1,TQBR
VSYDP,2015-09-02 00:00:00,8780,8780,8780,8780,8780.0,1,TQBR
VSYDP,2015-09-03 00:00:00,10000,11550,10000,11550,21550.0,2,TQBR
VSYDP,2015-09-04 00:00:00,15500,15500,15500,15500,15500.0,1,TQBR
VSYDP,2015-09-08 00:00:00,20000,20000,20000,20000,20000.0,1,TQBR
VSYDP,2015-09-09 00:00:00,20000,20000,20000,20000,20000.0,1,TQBR
VSYDP,2015-09-11 00:00:00,20000,27500,20000,27500,47500.0,2,TQBR
VSYDP,2015-09-14 00:00:00,23500,23500,23500,23500,94000.0,4,TQBR
VSYDP,2015-09-22 00:00:00,19900,19900,19900,19900,19900.0,1,TQBR
VSYDP,2015-09-29 00:00:00,25500,25500,25500,25500,25500.0,1,TQBR
VSYDP,2015-10-02 00:00:00,27500,27500,27500,27500,27500.0,1,TQBR
VSYDP,2015-10-08 00:00:00,24500,24560,24500,24560,49060.0,2,TQBR
VSYDP,2015-10-14 00:00:00,24000,24000,24000,24000,24000.0,1,TQBR
VSYDP,2015-10-26 00:00:00,24000,24000,24000,24000,24000.0,1,TQBR
VSYDP,2015-12-29 00:00:00,22300,22300,22300,22300,22300.0,1,TQBR
VSYDP,2016-01-12 00:00:00,22300,22300,22300,22300,22300.0,1,TQBR
VSYDP,2016-01-29 00:00:00,23000,23600,23000,23600,46600.0,2,TQBR
VSYDP,2016-02-02 00:00:00,20200,20200,20200,20200,20200.0,1,TQBR
VSYDP,2016-02-16 00:00:00,13600,13600,13600,13600,13600.0,1,TQBR
VSYDP,2016-03-16 00:00:00,10000,10000,10000,10000,10000.0,1,TQBR
VSYDP,2016-03-17 00:00:00,11000,11000,11000,11000,11000.0,1,TQBR
VSYDP,2016-04-22 00:00:00,8000,13000,8000,13000,21000.0,2,TQBR
VSYDP,2016-04-29 00:00:00,8900,8900,8800,8800,17700.0,2,TQBR
VSYDP,2016-07-29 00:00:00,9200,12000,9200,12000,93700.0,9,TQBR
VSYDP,2016-08-01 00:00:00,11600,13900,11600,13900,25500.0,2,TQBR
VSYDP,2016-08-03 00:00:00,10000,13500,10000,13200,109200.0,9,TQBR
VSYDP,2016-08-05 00:00:00,13800,13800,13800,13800,13800.0,1,TQBR
VSYDP,2016-08-08 00:00:00,14000,14900,14000,14000,84900.0,6,TQBR
VSYDP,2016-08-11 00:00:00,12800,12800,12800,12800,12800.0,1,TQBR
VSYDP,2016-08-12 00:00:00,14900,14900,14900,14900,14900.0,1,TQBR
VSYDP,2016-08-23 00:00:00,13800,13800,13800,13800,13800.0,1,TQBR
VSYDP,2016-08-31 00:00:00,10000,10100,9400,9600,176200.0,18,TQBR
VSYDP,2016-09-01 00:00:00,9500,9500,9500,9500,9500.0,1,TQBR
VSYDP,2016-09-02 00:00:00,9500,9500,9400,9400,18900.0,2,TQBR
VSYDP,2016-09-06 00:00:00,9400,9400,9000,9000,109800.0,12,TQBR
VSYDP,2016-09-07 00:00:00,9000,9000,8800,8800,26700.0,3,TQBR
VSYDP,2016-09-08 00:00:00,8700,8700,8300,8500,51000.0,6,TQBR
VSYDP,2016-09-09 00:00:00,8500,8700,8500,8600,34400.0,4,TQBR
VSYDP,2016-09-13 00:00:00,8600,8600,8600,8600,8600.0,1,TQBR
VSYDP,2016-09-14 00:00:00,8600,8700,8600,8600,25900.0,3,TQBR
VSYDP,2016-09-15 00:00:00,8600,8700,8600,8700,17300.0,2,TQBR
VSYDP,2016-09-16 00:00:00,8600,8600,8400,8500,59500.0,7,TQBR
VSYDP,2016-09-19 00:00:00,8400,8400,8300,8300,33500.0,4,TQBR
VSYDP,2016-09-20 00:00:00,8200,8200,7800,7800,64400.0,8,TQBR
VSYDP,2016-09-21 00:00:00,7900,8200,7900,8000,48300.0,6,TQBR
VSYDP,2016-09-23 00:00:00,8100,8100,8000,8000,16100.0,2,TQBR
VSYDP,2016-09-26 00:00:00,8100,8600,8100,8600,124900.0,15,TQBR
VSYDP,2016-09-27 00:00:00,8700,8700,8700,8700,17400.0,2,TQBR
VSYDP,2016-09-28 00:00:00,8600,8600,8600,8600,8600.0,1,TQBR
VSYDP,2016-09-29 00:00:00,8500,8600,8500,8600,17100.0,2,TQBR
VSYDP,2016-10-03 00:00:00,8700,8700,8700,8700,8700.0,1,TQBR
VSYDP,2016-10-04 00:00:00,8700,8700,8700,8700,8700.0,1,TQBR
VSYDP,2016-10-14 00:00:00,8700,8700,8700,8700,8700.0,1,TQBR
VSYDP,2016-10-19 00:00:00,8500,8500,7300,7300,32100.0,4,TQBR
VSYDP,2016-10-21 00:00:00,8300,8300,8300,8300,8300.0,1,TQBR
VSYDP,2016-10-28 00:00:00,8700,8700,8500,8500,17200.0,2,TQBR
VSYDP,2016-11-01 00:00:00,8700,8700,8700,8700,8700.0,1,TQBR
VSYDP,2016-11-02 00:00:00,8600,8600,8600,8600,8600.0,1,TQBR
VSYDP,2016-11-21 00:00:00,8800,8800,8800,8800,8800.0,1,TQBR
VSYDP,2016-11-25 00:00:00,7000,8100,7000,8100,38800.0,5,TQBR
VSYDP,2016-11-28 00:00:00,8200,8200,8200,8200,8200.0,1,TQBR
VSYDP,2016-11-29 00:00:00,8300,8300,8300,8300,8300.0,1,TQBR
VSYDP,2016-12-01 00:00:00,8200,8200,8100,8100,16300.0,2,TQBR
VSYDP,2016-12-02 00:00:00,8300,8300,8300,8300,8300.0,1,TQBR
VSYDP,2016-12-05 00:00:00,8100,8100,8000,8000,16100.0,2,TQBR
VSYDP,2016-12-07 00:00:00,8100,8100,8000,8000,16100.0,2,TQBR
VSYDP,2016-12-09 00:00:00,7900,7900,7700,7900,31300.0,4,TQBR
VSYDP,2016-12-16 00:00:00,8000,8000,8000,8000,8000.0,1,TQBR
VSYDP,2016-12-19 00:00:00,7800,7800,7700,7800,23300.0,3,TQBR
VSYDP,2016-12-20 00:00:00,7900,7900,7900,7900,7900.0,1,TQBR
VSYDP,2016-12-22 00:00:00,7000,7400,7000,7300,63700.0,9,TQBR
VSYDP,2016-12-23 00:00:00,7400,7900,7400,7900,37900.0,5,TQBR
VSYDP,2016-12-26 00:00:00,8100,8100,8100,8100,8100.0,1,TQBR
VSYDP,2017-01-04 00:00:00,7600,7600,7600,7600,7600.0,1,TQBR
VSYDP,2017-01-05 00:00:00,7200,8000,7200,8000,45300.0,6,TQBR
VSYDP,2017-01-13 00:00:00,7900,7900,7600,7600,31000.0,4,TQBR
VSYDP,2017-01-16 00:00:00,7700,7700,7300,7300,29900.0,4,TQBR
VSYDP,2017-01-17 00:00:00,7200,7200,7100,7100,21400.0,3,TQBR
VSYDP,2017-01-18 00:00:00,7200,7500,7100,7100,58200.0,8,TQBR
VSYDP,2017-01-19 00:00:00,7100,7100,6900,6900,14000.0,2,TQBR
VSYDP,2017-01-20 00:00:00,7000,7000,7000,7000,7000.0,1,TQBR
VSYDP,2017-01-23 00:00:00,7000,7000,7000,7000,7000.0,1,TQBR
VSYDP,2017-01-24 00:00:00,7000,7000,7000,7000,7000.0,1,TQBR
VSYDP,2017-01-26 00:00:00,6900,6900,6900,6900,6900.0,1,TQBR
VSYDP,2017-01-27 00:00:00,6900,6900,6900,6900,6900.0,1,TQBR
VSYDP,2017-01-30 00:00:00,6900,6900,6600,6600,33600.0,5,TQBR
VSYDP,2017-01-31 00:00:00,6600,6600,6600,6600,6600.0,1,TQBR
VSYDP,2017-02-01 00:00:00,6500,6500,6500,6500,6500.0,1,TQBR
VSYDP,2017-02-02 00:00:00,6500,6500,6500,6500,6500.0,1,TQBR
VSYDP,2017-02-03 00:00:00,6500,6500,6500,6500,6500.0,1,TQBR
VSYDP,2017-02-06 00:00:00,6400,6400,6200,6200,25200.0,4,TQBR
VSYDP,2017-02-07 00:00:00,6100,6300,5800,6100,78700.0,13,TQBR
VSYDP,2017-02-08 00:00:00,6300,6700,6300,6500,51800.0,8,TQBR
VSYDP,2017-02-09 00:00:00,6400,6600,6400,6600,13000.0,2,TQBR
VSYDP,2017-02-20 00:00:00,6400,6400,6200,6200,18900.0,3,TQBR
VSYDP,2017-02-24 00:00:00,6400,6400,6400,6400,6400.0,1,TQBR
VSYDP,2017-03-02 00:00:00,6500,6500,6500,6500,6500.0,1,TQBR
VSYDP,2017-03-24 00:00:00,6500,6500,6500,6500,6500.0,1,TQBR
VSYDP,2017-04-04 00:00:00,6400,6400,6400,6400,6400.0,1,TQBR
VSYDP,2017-04-06 00:00:00,6300,6300,6300,6300,6300.0,1,TQBR
VSYDP,2017-04-11 00:00:00,6200,6200,6100,6100,12300.0,2,TQBR
VSYDP,2017-04-25 00:00:00,6000,6000,6000,6000,6000.0,1,TQBR
VSYDP,2017-04-26 00:00:00,6000,6100,6000,6100,12100.0,2,TQBR
VSYDP,2017-04-27 00:00:00,4400,6100,4400,6100,15300.0,3,TQBR
VSYDP,2017-05-05 00:00:00,5900,5900,5900,5900,5900.0,1,TQBR
VSYDP,2017-05-10 00:00:00,5900,5900,4500,4500,10400.0,2,TQBR
VSYDP,2017-05-15 00:00:00,5700,5700,5700,5700,5700.0,1,TQBR
VSYDP,2017-05-18 00:00:00,5400,5400,5400,5400,5400.0,1,TQBR
VSYDP,2017-05-19 00:00:00,5400,5400,5400,5400,5400.0,1,TQBR
VSYDP,2017-08-03 00:00:00,4000,4800,4000,4800,24800.0,6,TQBR
VSYDP,2017-08-04 00:00:00,4600,4600,4600,4600,4600.0,1,TQBR
VSYDP,2017-08-07 00:00:00,4000,4100,4000,4100,28400.0,7,TQBR
VSYDP,2017-08-09 00:00:00,4100,4500,4000,4000,16700.0,4,TQBR
VSYDP,2017-08-10 00:00:00,4100,4100,4100,4100,12300.0,3,TQBR
VSYDP,2017-08-31 00:00:00,4500,4500,4500,4500,4500.0,1,TQBR
VSYDP,2017-09-08 00:00:00,3100,3400,3100,3400,37800.0,12,TQBR
VSYDP,2017-09-11 00:00:00,4600,4600,4600,4600,4600.0,1,TQBR
VSYDP,2017-09-12 00:00:00,4500,4500,4500,4500,4500.0,1,TQBR
VSYDP,2017-09-13 00:00:00,3600,3600,3500,3500,7100.0,2,TQBR
VSYDP,2017-09-14 00:00:00,3600,5100,3600,5100,27000.0,6,TQBR
VSYDP,2017-09-15 00:00:00,5500,6600,5500,6600,23900.0,4,TQBR
VSYDP,2017-09-18 00:00:00,6000,6000,4500,5400,389100.0,79,TQBR
VSYDP,2017-09-19 00:00:00,5400,5500,4700,5000,41000.0,8,TQBR
VSYDP,2017-09-20 00:00:00,4700,5000,4200,5000,42500.0,9,TQBR
VSYDP,2017-09-21 00:00:00,4900,4900,4900,4900,4900.0,1,TQBR
VSYDP,2017-09-28 00:00:00,4200,4400,4000,4000,49300.0,12,TQBR
VSYDP,2017-09-29 00:00:00,4800,4800,4100,4200,13100.0,3,TQBR
VSYDP,2017-10-02 00:00:00,4000,4200,3900,4100,93300.0,23,TQBR
VSYDP,2017-10-03 00:00:00,4000,4600,4000,4500,181600.0,44,TQBR
VSYDP,2017-10-04 00:00:00,4200,4300,3300,4000,253400.0,65,TQBR
VSYDP,2017-10-06 00:00:00,4400,4500,4100,4200,46300.0,11,TQBR
VSYDP,2017-10-09 00:00:00,4000,4000,4000,4000,28000.0,7,TQBR
VSYDP,2017-10-12 00:00:00,4000,4200,4000,4100,20300.0,5,TQBR
VSYDP,2017-10-18 00:00:00,4000,4000,4000,4000,4000.0,1,TQBR
VSYDP,2017-10-19 00:00:00,4000,4000,4000,4000,12000.0,3,TQBR
VSYDP,2017-10-20 00:00:00,3900,3900,3900,3900,3900.0,1,TQBR
VSYDP,2017-10-23 00:00:00,3800,3800,3800,3800,3800.0,1,TQBR
VSYDP,2017-10-24 00:00:00,3900,4000,3900,4000,7900.0,2,TQBR
VSYDP,2017-10-25 00:00:00,3800,3800,3800,3800,3800.0,1,TQBR
VSYDP,2017-10-26 00:00:00,3700,3900,3700,3900,7600.0,2,TQBR
VSYDP,2017-10-27 00:00:00,3700,3800,3700,3700,14900.0,4,TQBR
VSYDP,2017-10-30 00:00:00,3700,3700,3700,3700,3700.0,1,TQBR
